Time,B-G,B-G error,TIme,G-R,G-R error,TIme,B-R,B-R error
2022.73775984783,0.1278552947685,0.130550259038995,2022.73776637994,0.3613206082344,0.126172908832052,2022.73776184553,0.2361836317858,0.080288397663376
2022.73776010147,0.1719512352878,0.115764658343816,2022.73776688723,0.220535213064,0.135882342089684,2022.73776241623,0.2745691107223,0.0833119390751791
2022.73776054535,0.1064481256292,0.115302655749245,2022.73776739476,0.1973935409901,0.12731462423348,2022.73776336741,0.596141049228,0.0805051349559432
2022.73776067218,-0.0798887991221,0.115601381634497,2022.73776777523,0.1705836546452,0.12507065216237,2022.73776387494,0.8174855107455,0.0799323626881846
2022.73776098923,-0.1013040948254,0.107073618439756,2022.73776809229,0.3220312552912,0.105695452601263,2022.73776412859,0.7155878450081,0.0815085009087712
2022.73776117947,-0.0590535434482,0.108293329067491,2022.73776840935,0.0102990189402,0.138761347346652,2022.73776463588,0.8874398473377,0.0749573724851706
2022.73776159188,-0.0299534647987,0.115193527200911,2022.73776942417,0.438906848742,0.107241065183554,2022.7377647627,0.9909412652966,0.064773020006499
2022.73776184553,0.0145082301432,0.175092375657117,2022.73776948759,0.0075973801048,0.10567559060033,2022.73776514317,0.7446318168002,0.0635808007331111
2022.73776241623,0.0311436138187,0.148421829363209,2022.73777040705,0.479032270813,0.110232080923041,2022.73776574582,0.7357439127775,0.060838205323464
2022.73776273329,0.1563243246867,0.120877924535879,2022.73777072411,0.1687066689503,0.115437233138729,2022.73776580923,0.6296349260727,0.0624226134019302
2022.73776292353,0.1112990660362,0.132438857947659,2022.73777085093,0.4033794675924,0.11300573916977,2022.73776599947,0.6096296436163,0.0609421294285247
2022.73776336741,0.4374522898059,0.124186438072046,2022.73777123164,0.4600189851936,0.113772995161292,2022.73776625311,0.4247174523887,0.0628393465265566
2022.73776387494,0.536164307652,0.129485515935112,2022.73777173894,0.4064405846064,0.116588476019742,2022.73776637994,0.4123981214494,0.0607593499378761
2022.73776412859,0.4779591130045,0.131382626160523,2022.73777186576,0.3501319839476,0.106964397113876,2022.73776688723,0.3317665021105,0.07029893806357
2022.73776463588,0.6160695586248,0.124919059660152,2022.73777211941,0.3405204376968,0.109580889970633,2022.73776739476,0.5346801910973,0.155689353119056
2022.7377647627,0.6300165461476,0.125824731845009,2022.73777256329,0.3367345503941,0.112890359152441,2022.73776777523,0.46659168081,0.0567379253560175
2022.73776514317,0.4038421119751,0.0923932793576624,2022.73777275352,0.2631722428991,0.111612983217972,2022.7377681557,0.3010977344573,0.0577923693149183
2022.73776574582,0.4001150825429,0.0710207915349544,2022.73777307082,0.3071898040271,0.108564130153798,2022.73776840935,0.4482371064835,0.0560200957649556
2022.73776580923,0.3911471460003,0.0862409283088141,2022.7377735147,0.2676284264245,0.117000549137633,2022.73776859958,0.8417390804262,0.0559352139434327
